locker_id,locker_number,branch_id,size,annual_rent,customer_id,allotment_date,status
31,LKR029-S001,29,Small,2500.00,53,2019-07-25,Allotted
32,LKR029-M001,29,Medium,4500.00,55,2022-06-15,Allotted
33,LKR031-S001,31,Small,2500.00,57,2020-09-08,Allotted
34,LKR031-M001,31,Medium,4500.00,59,2021-04-22,Allotted
35,LKR031-L001,31,Large,8000.00,61,2017-11-30,Allotted
36,LKR035-S001,35,Small,2500.00,63,2023-02-12,Allotted
37,LKR035-M001,35,Medium,4500.00,NULL,NULL,Available
38,LKR039-S001,39,Small,2500.00,65,2020-06-28,Allotted
39,LKR039-M001,39,Medium,4500.00,67,2022-10-05,Allotted
40,LKR043-S001,43,Small,2500.00,69,2019-03-18,Allotted
41,LKR043-M001,43,Medium,4500.00,71,2021-12-08,Allotted
42,LKR045-S001,45,Small,2500.00,73,2020-02-25,Allotted
43,LKR045-M001,45,Medium,4500.00,75,2023-06-12,Allotted
44,LKR047-S001,47,Small,2500.00,NULL,NULL,Available
45,LKR047-M001,47,Medium,4500.00,77,2019-09-30,Allotted
46,LKR051-S001,51,Small,2500.00,79,2022-04-18,Allotted
47,LKR051-M001,51,Medium,4500.00,81,2020-08-05,Allotted
48,LKR055-S001,55,Small,2500.00,83,2021-11-22,Allotted
49,LKR055-M001,55,Medium,4500.00,85,2019-04-08,Allotted
50,LKR059-S001,59,Small,2500.00,87,2023-08-25,Allotted
51,LKR059-M001,59,Medium,4500.00,89,2020-01-15,Allotted
52,LKR063-S001,63,Small,2500.00,NULL,NULL,Available
53,LKR063-M001,63,Medium,4500.00,91,2022-07-30,Allotted
54,LKR067-S001,67,Small,2500.00,93,2019-10-12,Allotted
55,LKR067-M001,67,Medium,4500.00,95,2021-05-28,Allotted
56,LKR071-S001,71,Small,2500.00,97,2020-03-08,Allotted
57,LKR071-M001,71,Medium,4500.00,99,2023-09-15,Allotted
58,LKR075-S001,75,Small,2500.00,101,2019-06-22,Allotted
59,LKR075-M001,75,Medium,4500.00,103,2022-11-10,Allotted
60,LKR079-S001,79,Small,2500.00,NULL,NULL,Available
61,LKR079-M001,79,Medium,4500.00,105,2020-07-25,Allotted
62,LKR083-S001,83,Small,2500.00,107,2021-02-18,Allotted
63,LKR087-S001,87,Small,2500.00,109,2019-08-30,Allotted
64,LKR087-M001,87,Medium,4500.00,111,2023-04-05,Allotted
65,LKR091-S001,91,Small,2500.00,113,2020-10-22,Allotted
66,LKR091-M001,91,Medium,4500.00,115,2022-03-15,Allotted
67,LKR095-S001,95,Small,2500.00,117,2019-12-08,Allotted
68,LKR095-M001,95,Medium,4500.00,NULL,NULL,Available
69,LKR097-S001,97,Small,2500.00,119,2021-07-12,Allotted
70,LKR097-M001,97,Medium,4500.00,121,2020-04-28,Allotted
71,LKR001-S003,1,Small,2500.00,123,2023-10-18,Allotted
72,LKR001-M003,1,Medium,4500.00,125,2019-01-25,Allotted
73,LKR005-S003,5,Small,2500.00,127,2022-08-08,Allotted
74,LKR008-S003,8,Small,2500.00,129,2020-05-15,Allotted
75,LKR011-S002,11,Small,2500.00,131,2021-10-30,Allotted
76,LKR014-S002,14,Small,2500.00,133,2019-03-22,Allotted
77,LKR019-S003,19,Small,2500.00,NULL,NULL,Available
78,LKR023-S002,23,Small,2500.00,135,2023-01-08,Allotted
79,LKR026-S002,26,Small,2500.00,137,2020-09-25,Allotted
80,LKR029-S002,29,Small,2500.00,139,2022-05-12,Allotted
81,LKR031-S002,31,Small,2500.00,141,2019-11-18,Allotted
82,LKR035-S002,35,Small,2500.00,143,2021-06-30,Allotted
83,LKR039-S002,39,Small,2500.00,145,2020-02-08,Allotted
84,LKR043-S002,43,Small,2500.00,NULL,NULL,Available
85,LKR045-S002,45,Small,2500.00,147,2023-07-22,Allotted
86,LKR047-S002,47,Small,2500.00,149,2019-04-15,Allotted
87,LKR051-S002,51,Small,2500.00,NULL,NULL,Available
88,LKR055-S002,55,Small,2500.00,2,2022-09-08,Allotted
89,LKR059-S002,59,Small,2500.00,4,2020-06-18,Allotted
90,LKR063-S002,63,Small,2500.00,6,2021-01-25,Allotted
91,LKR067-S002,67,Small,2500.00,8,2019-07-12,Allotted
92,LKR071-S002,71,Small,2500.00,NULL,NULL,Available
93,LKR075-S002,75,Small,2500.00,10,2023-03-30,Allotted
94,LKR079-S002,79,Small,2500.00,12,2020-11-08,Allotted
95,LKR083-S002,83,Small,2500.00,14,2022-06-22,Allotted
96,LKR087-S002,87,Small,2500.00,16,2019-09-15,Allotted
97,LKR091-S002,91,Small,2500.00,18,2021-04-28,Allotted
98,LKR095-S002,95,Small,2500.00,20,2020-08-12,Allotted
99,LKR097-S002,97,Small,2500.00,NULL,NULL,Available
100,LKR001-XL001,1,Extra Large,15000.00,22,2018-02-18,Allotted
