log_id,table_name,operation,record_id,changed_by,change_timestamp,old_values,new_values
26,branches,UPDATE,50,27,2026-07-05 11:15:00,"{""is_active"": true}","{""is_active"": true}"
27,accounts,UPDATE,7,28,2026-07-01 14:30:00,"{""current_balance"": 680000.00}","{""current_balance"": 650000.00}"
28,transactions,INSERT,7,29,2026-07-01 14:00:00,,"{""transaction_id"": 7, ""amount"": 30000.00}"
29,loans,UPDATE,7,30,2026-07-05 09:15:00,"{""outstanding_balance"": 6816916.00}","{""outstanding_balance"": 6800000.00}"
30,fixed_deposits,UPDATE,7,31,2026-07-01 16:00:00,"{""status"": ""Active""}","{""status"": ""Active""}"
31,accounts,UPDATE,121,32,2026-07-13 09:30:00,"{""current_balance"": 1250000.00}","{""current_balance"": 1050000.00}"
32,transactions,INSERT,121,33,2026-07-13 09:30:00,,"{""transaction_id"": 121, ""amount"": 200000.00}"
33,customers,UPDATE,1,34,2026-07-10 10:15:00,"{""address"": ""100 Marine Drive""}","{""address"": ""101 Marine Drive Mumbai""}"
34,loan_approvals,INSERT,101,35,2026-07-08 14:30:00,,"{""approval_id"": 101, ""approval_status"": ""Approved""}"
35,accounts,UPDATE,9,36,2026-07-01 15:30:00,"{""current_balance"": 1250000.00}","{""current_balance"": 1281250.00}"
36,transactions,INSERT,9,37,2026-07-01 15:30:00,,"{""transaction_id"": 9, ""amount"": 31250.00}"
37,credit_cards,UPDATE,22,38,2026-07-18 10:30:00,"{""available_limit"": 1270000.00}","{""available_limit"": 1085000.00}"
38,card_transactions,INSERT,31,39,2026-07-22 09:15:00,,"{""card_txn_id"": 31, ""amount"": 225000.00}"
39,lockers,UPDATE,6,40,2026-07-20 14:00:00,"{""status"": ""Allotted""}","{""status"": ""Available""}"
40,accounts,UPDATE,13,41,2026-07-02 11:00:00,"{""current_balance"": 2100000.00}","{""current_balance"": 2000000.00}"
41,transactions,INSERT,13,42,2026-07-02 11:00:00,,"{""transaction_id"": 13, ""amount"": 100000.00}"
42,employees,UPDATE,50,3,2026-07-01 09:30:00,"{""salary"": 1280000.00}","{""salary"": 1300000.00}"
43,fixed_deposits,UPDATE,5,43,2026-07-15 16:30:00,"{""status"": ""Active""}","{""status"": ""Active""}"
44,loans,UPDATE,22,44,2026-07-05 09:45:00,"{""outstanding_balance"": 7618694.00}","{""outstanding_balance"": 7600000.00}"
45,accounts,UPDATE,34,45,2026-07-04 11:45:00,"{""current_balance"": 3200000.00}","{""current_balance"": 3280000.00}"
46,transactions,INSERT,34,46,2026-07-04 11:45:00,,"{""transaction_id"": 34, ""amount"": 80000.00}"
47,customers,UPDATE,34,47,2026-07-03 10:00:00,"{""kyc_verified"": true}","{""kyc_verified"": true}"
48,credit_cards,UPDATE,7,48,2026-07-15 12:15:00,"{""available_limit"": 2005000.00}","{""available_limit"": 1820000.00}"
49,card_transactions,INSERT,34,49,2026-07-18 18:30:00,,"{""card_txn_id"": 34, ""amount"": 185000.00}"
50,loan_payments,INSERT,70,50,2026-07-05 15:30:00,,"{""payment_id"": 70, ""loan_id"": 50}"
51,accounts,UPDATE,61,1,2026-07-07 09:30:00,"{""current_balance"": 1680000.00}","{""current_balance"": 1722000.00}"
52,transactions,INSERT,61,2,2026-07-07 09:30:00,,"{""transaction_id"": 61, ""amount"": 42000.00}"
53,fixed_deposits,UPDATE,31,3,2026-07-10 14:00:00,"{""status"": ""Active""}","{""status"": ""Active""}"
54,customers,INSERT,152,4,2026-07-12 10:30:00,,"{""customer_id"": 152, ""first_name"": ""New Customer""}"
55,accounts,INSERT,142,5,2026-07-12 11:00:00,,"{""account_id"": 142, ""customer_id"": 152}"
56,loans,UPDATE,31,6,2026-07-05 09:00:00,"{""outstanding_balance"": 5642338.00}","{""outstanding_balance"": 5625000.00}"
57,credit_cards,INSERT,101,7,2026-07-15 14:30:00,,"{""card_id"": 101, ""customer_id"": 152}"
58,lockers,INSERT,101,8,2026-07-18 11:00:00,,"{""locker_id"": 101, ""branch_id"": 1}"
59,customer_insurance,UPDATE,25,9,2026-07-20 15:45:00,"{""status"": ""Active""}","{""status"": ""Active""}"
60,accounts,UPDATE,66,10,2026-07-07 13:15:00,"{""current_balance"": 2450000.00}","{""current_balance"": 2511250.00}"
61,transactions,INSERT,66,11,2026-07-07 13:15:00,,"{""transaction_id"": 66, ""amount"": 61250.00}"
62,employees,UPDATE,100,3,2026-07-01 10:00:00,"{""salary"": 570000.00}","{""salary"": 580000.00}"
63,branches,UPDATE,100,12,2026-07-05 09:30:00,"{""is_active"": true}","{""is_active"": true}"
64,loans,UPDATE,67,13,2026-07-05 09:30:00,"{""outstanding_balance"": 8431368.00}","{""outstanding_balance"": 8400000.00}"
65,fixed_deposits,UPDATE,67,14,2026-07-01 10:00:00,"{""status"": ""Active""}","{""status"": ""Active""}"
66,accounts,UPDATE,103,15,2026-07-11 11:00:00,"{""current_balance"": 1925000.00}","{""current_balance"": 1973125.00}"
67,transactions,INSERT,103,16,2026-07-11 11:00:00,,"{""transaction_id"": 103, ""amount"": 48125.00}"
68,credit_cards,UPDATE,67,17,2026-07-13 16:45:00,"{""available_limit"": 1565000.00}","{""available_limit"": 1520000.00}"
69,card_transactions,INSERT,67,18,2026-07-22 09:15:00,,"{""card_txn_id"": 67, ""amount"": 45000.00}"
70,loan_payments,INSERT,87,19,2026-07-05 15:30:00,,"{""payment_id"": 87, ""loan_id"": 67}"
71,accounts,UPDATE,71,20,2026-07-08 09:30:00,"{""current_balance"": 1320000.00}","{""current_balance"": 1353000.00}"
72,transactions,INSERT,71,21,2026-07-08 09:30:00,,"{""transaction_id"": 71, ""amount"": 33000.00}"
73,customers,UPDATE,71,22,2026-07-05 10:30:00,"{""kyc_verified"": true}","{""kyc_verified"": true}"
74,fixed_deposits,UPDATE,36,23,2026-07-08 14:00:00,"{""status"": ""Active""}","{""status"": ""Active""}"
75,loans,UPDATE,36,24,2026-07-05 09:15:00,"{""outstanding_balance"": 5794748.00}","{""outstanding_balance"": 5780000.00}"
76,accounts,UPDATE,84,25,2026-07-09 11:45:00,"{""current_balance"": 1580000.00}","{""current_balance"": 1619500.00}"
77,transactions,INSERT,84,26,2026-07-09 11:45:00,,"{""transaction_id"": 84, ""amount"": 39500.00}"
78,credit_cards,UPDATE,83,27,2026-07-10 10:00:00,"{""available_limit"": 1670000.00}","{""available_limit"": 1620000.00}"
79,card_transactions,INSERT,83,28,2026-07-10 10:00:00,,"{""card_txn_id"": 83, ""amount"": 50000.00}"
80,employees,UPDATE,75,3,2026-07-01 09:45:00,"{""salary"": 1560000.00}","{""salary"": 1580000.00}"
81,accounts,UPDATE,92,29,2026-07-18 10:15:00,"{""current_balance"": 62500.00}","{""current_balance"": 58500.00}"
82,transactions,INSERT,92,30,2026-07-18 10:15:00,,"{""transaction_id"": 92, ""amount"": 4000.00}"
83,lockers,UPDATE,44,31,2026-07-20 11:00:00,"{""status"": ""Allotted""}","{""status"": ""Available""}"
84,customer_insurance,UPDATE,50,32,2026-07-15 16:00:00,"{""status"": ""Active""}","{""status"": ""Active""}"
85,loans,UPDATE,83,33,2026-07-05 09:30:00,"{""outstanding_balance"": 6181428.00}","{""outstanding_balance"": 6150000.00}"
86,fixed_deposits,UPDATE,83,34,2026-07-10 15:00:00,"{""status"": ""Active""}","{""status"": ""Active""}"
87,accounts,UPDATE,113,35,2026-07-12 11:00:00,"{""current_balance"": 1685000.00}","{""current_balance"": 1727125.00}"
88,transactions,INSERT,113,36,2026-07-12 11:00:00,,"{""transaction_id"": 113, ""amount"": 42125.00}"
89,credit_cards,UPDATE,92,37,2026-07-15 14:15:00,"{""available_limit"": 1475000.00}","{""available_limit"": 1425000.00}"
90,card_transactions,INSERT,92,38,2026-07-15 14:15:00,,"{""card_txn_id"": 92, ""amount"": 50000.00}"
91,loan_payments,INSERT,92,39,2026-07-05 15:30:00,,"{""payment_id"": 92, ""loan_id"": 72}"
92,accounts,UPDATE,119,40,2026-07-12 15:30:00,"{""current_balance"": 525000.00}","{""current_balance"": 615000.00}"
93,transactions,INSERT,119,41,2026-07-12 15:30:00,,"{""transaction_id"": 119, ""amount"": 90000.00}"
94,customers,UPDATE,119,42,2026-07-10 10:00:00,"{""phone"": ""9812345118""}","{""phone"": ""9812345119""}"
95,fixed_deposits,UPDATE,92,43,2026-07-08 11:00:00,"{""status"": ""Active""}","{""status"": ""Active""}"
96,loans,UPDATE,92,44,2026-07-05 09:00:00,"{""outstanding_balance"": 6933168.00}","{""outstanding_balance"": 6860000.00}"
97,accounts,UPDATE,120,45,2026-07-12 16:15:00,"{""current_balance"": 85500.00}","{""current_balance"": 81500.00}"
98,transactions,INSERT,120,46,2026-07-12 16:15:00,,"{""transaction_id"": 120, ""amount"": 4000.00}"
99,credit_cards,UPDATE,94,47,2026-07-18 11:30:00,"{""available_limit"": 87000.00}","{""available_limit"": 82000.00}"
100,card_transactions,INSERT,94,48,2026-07-18 11:30:00,,"{""card_txn_id"": 94, ""amount"": 5000.00}"
