payment_id,loan_id,payment_date,amount_paid,principal_component,interest_component,penalty,payment_mode,receipt_number
71,51,2026-07-05,14032.00,11158.00,2874.00,0.00,Auto Debit,RCP2026070500051
72,52,2026-07-05,2324.00,1596.00,728.00,0.00,Auto Debit,RCP2026070500052
73,53,2026-07-05,13879.00,10108.00,3771.00,0.00,Auto Debit,RCP2026070500053
74,54,2026-07-05,2728.00,2165.00,563.00,0.00,Auto Debit,RCP2026070500054
75,55,2026-07-05,13097.00,10412.00,2685.00,0.00,Auto Debit,RCP2026070500055
76,56,2026-07-05,2460.00,1620.00,840.00,0.00,Auto Debit,RCP2026070500056
77,57,2026-07-05,12557.00,9073.00,3484.00,0.00,Auto Debit,RCP2026070500057
78,58,2026-07-05,3334.00,2646.00,688.00,0.00,Auto Debit,RCP2026070500058
79,59,2026-07-05,10290.00,8181.00,2109.00,0.00,Auto Debit,RCP2026070500059
80,60,2026-07-05,2221.00,1485.00,736.00,0.00,Auto Debit,RCP2026070500060
81,61,2026-07-05,10138.00,6871.00,3267.00,0.00,Auto Debit,RCP2026070500061
82,62,2026-07-05,12098.00,6727.00,5371.00,0.00,Auto Debit,RCP2026070500062
83,63,2026-07-05,8545.00,6308.00,2237.00,0.00,Auto Debit,RCP2026070500063
84,64,2026-07-05,17664.00,9706.00,7958.00,0.00,Auto Debit,RCP2026070500064
85,65,2026-07-05,9124.00,6149.00,2975.00,0.00,Auto Debit,RCP2026070500065
86,66,2026-07-05,3439.00,2964.00,475.00,0.00,Auto Debit,RCP2026070500066
87,67,2026-07-05,89568.00,31368.00,58200.00,0.00,Auto Debit,RCP2026070500067
88,68,2026-07-05,13580.00,9841.00,3739.00,0.00,Auto Debit,RCP2026070500068
89,69,2026-07-05,19225.00,14538.00,4687.00,0.00,Auto Debit,RCP2026070500069
90,70,2026-07-05,11222.00,7944.00,3278.00,0.00,Auto Debit,RCP2026070500070
91,71,2026-07-05,3758.00,3025.00,733.00,0.00,Auto Debit,RCP2026070500071
92,72,2026-07-05,12603.00,8978.00,3625.00,0.00,Auto Debit,RCP2026070500072
93,73,2026-07-05,2665.00,1790.00,875.00,0.00,Auto Debit,RCP2026070500073
94,74,2026-07-05,12162.00,9673.00,2489.00,0.00,Auto Debit,RCP2026070500074
95,75,2026-07-05,3801.00,3276.00,525.00,0.00,Auto Debit,RCP2026070500075
96,76,2026-07-05,11215.00,9652.00,1563.00,0.00,Auto Debit,RCP2026070500076
97,77,2026-07-05,10508.00,9383.00,1125.00,0.00,Auto Debit,RCP2026070500077
98,78,2026-07-05,11627.00,9692.00,1935.00,0.00,Auto Debit,RCP2026070500078
99,79,2026-07-05,8972.00,7722.00,1250.00,0.00,Auto Debit,RCP2026070500079
100,80,2026-07-05,10173.00,8455.00,1718.00,0.00,Auto Debit,RCP2026070500080
